cap_id,official_name,official_definition,min_inputs,outputs,mapped_modules,notes
C01,,,,rolling buffer metrics,evidence bundle,"M01;M02;M03","60-min rolling buffer, 10s sampling"
C02,,,,change events,change timeline,"M04;M10","command/change stubs (no payload)"
C03,,,,pre-change snapshot,snapshot refs,"M05","scoped pre-change, reference-only"
C04,,,,change event card,observability,"M06","missing refs → opaque_risk"
C05,,,,metrics sample,bad window flags,"M07","2+ signals threshold"
C06,,,,badness flags,verdict,"M08","minimal verdict classifier"
C07,,,,worst window,episode_id,"M09;M16","episode recognition"
C08,,,,60-min buffers,timeline,"M10","flattened timeline"
C09,,,,timeline + recognition,bundle export,"M11;M12","OBH export (no network change)"
C10,,,,bundle,fp-lite,"M13;M14;M15","offline/app fp-lite"
C11,,,,,app notes,"M18","guidance only"
C12,,,,,demo simulator,"M17","demo-only"
C13,,,,schema,validation,"schemas/*","JSON schema + appendix"
C14,,,,module map,traceability,"MODULE_MAP.md","documentation"
C15,,,,capability map,traceability,"CAPABILITY_MAP.md","documentation"
C16,,,,verdict+confidence,operator UX,"M08;M16","reference-only"
C17,,,,opaque_risk,operator reflection,"M06;M16","Observability insufficient → Opaque risk"
C18,,,,snapshots,incident comparison,"M05;M10","before/after refs"
C19,,,,bundle export,vendor pack,"M12","easy sharing"
C20,,,,fp-lite output,RCA attachment,"M13","reference-only"
